step,t_s,guidance_updated,trajectory_id,guidance_cycle_index,sigma_cmd_rad,sigma_target_rad,sigma_actual_rad,roll_rate_rad_s,roll_accel_rad_s2,tau_roll_cmd_Nm,tau_roll_capacity_Nm,requested_duty,fired_this_step,num_internal_steps,num_fired_internal_steps,roll_pos_backlog_s,roll_neg_backlog_s,roll_pos_is_on,roll_neg_is_on,active_thrusters,torque_z_from_rcs,force_x_from_rcs,force_y_from_rcs,force_z_from_rcs,r_m,phi_rad,lam_rad,V_mps,gamma_rad,chi_rad,alt_m,rho_kgm3,q_pa,T_K,p_Pa,drag_mag_N,lift_mag_N,lift_vertical_plane_N,lift_lateral_left_N,gravity_mps2,range_to_go_m,great_circle_range_m,great_circle_angle_rad,target_course_chi_rad,target_azimuth_north_rad,heading_error_rad,heading_offset_psi_rad,north_error_m,east_error_m,along_track_error_m,cross_track_error_m,interval_active,interval_failed,interval_failure_time_s,interval_failure_reason,interval_failure_kind,nominal_continued_after_interval_failure,last_valid_interval_available,last_valid_interval_time_s,interval_step_failure_kind,interval_step_failure_reason,interval_step_heat_violation,interval_step_numerical_failure,interval_step_recentered,interval_step_recenter_reason,interval_step_split,interval_step_split_reason,interval_step_split_depth,interval_sigma_lo,interval_sigma_hi,interval_rho_lo,interval_rho_hi,interval_q_lo,interval_q_hi,interval_alt_lo,interval_alt_hi,width_r_m,width_phi_rad,width_lam_rad,width_V_mps,width_gamma_rad,width_chi_rad,dx_width_r,dx_width_phi,dx_width_lam,dx_width_V,dx_width_gamma,dx_width_chi,heating_qdot_max_lo,heating_qdot_max_hi,heating_qdot_mean_lo,heating_qdot_mean_hi,heating_Q_max_lo,heating_Q_max_hi,nominal_heat_qdot_max_lo,nominal_heat_qdot_max_hi,nominal_heat_Q_max_lo,nominal_heat_Q_max_hi,nominal_heat_violation,nominal_heat_violation_reason,guidance_selected_candidate_index,guidance_any_feasible_candidate,guidance_selected_candidate_heat_feasible,guidance_selected_interval_screen_used,guidance_selected_interval_failure_kind,guidance_chosen_sigma_cmd_deg,guidance_chosen_sigma_mag_deg,guidance_heading_deadband_deg,guidance_current_altitude_rate_mps,guidance_selected_geometry_cost,guidance_selected_heat_penalty,guidance_selected_total_cost,guidance_selected_failure_reason,guidance_selected_violation_amount,guidance_selected_first_violation_step,guidance_selected_first_violation_time_s,guidance_selected_max_heating_rate_lo,guidance_selected_max_heating_rate_hi,guidance_selected_max_heat_load_lo,guidance_selected_max_heat_load_hi,guidance_candidate_count,guidance_candidate_sigma_deg_json,guidance_candidate_cost_json,guidance_candidate_heat_flag_json,guidance_candidate_failure_reason_json,safety_status,safety_checks,layer_indices,r_m_lo,r_m_hi,r_m_width,phi_rad_lo,phi_rad_hi,phi_rad_width,lam_rad_lo,lam_rad_hi,lam_rad_width,V_mps_lo,V_mps_hi,V_mps_width,gamma_rad_lo,gamma_rad_hi,gamma_rad_width,chi_rad_lo,chi_rad_hi,chi_rad_width
0,0.0,True,traj_000,0,1.2217304763960306,0.04363323129985824,0.0,0.0,0.0,349.0658503988659,5693.72366753344,0.06130712882841461,0,50,0,0.010422211900830486,0.0,0,0,,0.0,0.0,0.0,0.0,6458100.0,0.0,0.0,10500.0,-0.09599310885968812,1.5707963267948966,80000.0,1.8448074506829373e-05,1016.9501071889692,198.63200709186913,1.0518707170575368,22962.93396052532,5590.975225171383,5590.975225171383,-0.0,9.557135937077003,2347779.1376773175,2347779.1376773175,0.36810008273268174,0.8027288082163565,0.76806751857854,-0.76806751857854,-0.76806751857854,1688650.9367553738,1631111.5513992435,1688650.9367553738,-1631111.5513992435,1,0,,,,0,1,0.0,none,,0,0,0,,0,,0,0.0,0.0,1.841452185415776e-05,1.848168519000354e-05,1011.2371505254442,1022.6877463258838,79990.0,80010.0,34.639629668556154,0.00035081485575264287,0.0003518965389843743,40.020058680238435,0.0052387203796010196,0.006981317502025686,58.55851867309946,6.996021415107533e-06,1.1322754342033473e-05,0.080234720952572,1.0930494472101318e-05,1.976193426596669e-09,395451.49190044904,858697.8386269875,508437.63244343456,515218.7031761926,98862.87297511226,214674.45965674688,398082.0235205952,853032.9075441326,99520.5058801488,213258.22688603314,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-1006.3804014623518,58.93316425289681,0.0,58.93316425289681,,0.0,-1,,395451.49190044904,1767544.3601983776,98862.87297511226,12764765.594752926,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.98913254203177, 58.95090154514459, 58.947067588801346, 58.94355160373905, 58.94038041120233, 58.937578269926306, 58.93516668783149, 58.93316425289681]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",6,6457831.072917311,6457865.71254698,34.639629668556154,0.00022918515934999093,0.0005800000151026338,0.00035081485575264287,-0.00017594826949218713,0.00017594826949218718,0.0003518965389843743,10479.543584009134,10519.563642689373,40.020058680238435,-0.09841871701722765,-0.09317999663762663,0.0052387203796010196,1.5673056680438837,1.5742869855459094,0.006981317502025686
1,0.25,False,traj_000,0,1.2217304763960306,0.1308996938995747,0.0,0.0,0.0,1047.1975511965977,5693.72366753344,0.18392138648524384,0,50,0,0.04659341790959506,0.0,0,0,,0.0,0.0,0.0,0.0,6457848.404899634,0.00040459500793017214,2.4774299070634166e-20,10499.553622310854,-0.09579935611337338,1.5707963267948966,79748.40489963442,1.9194977308818047e-05,1058.0331598599732,199.122827047335,1.0971619625252345,23890.597391319126,5816.841103973354,5816.841103973354,-0.0,9.557880635702382,2345923.7209260664,2345923.7209260664,0.36780917842712824,0.801999396006755,0.7687969307881416,-0.7687969307881416,-0.7687969307881416,1686127.158535933,1631052.822458899,1686127.158535933,-1631052.822458899,1,0,,,,0,1,0.25,none,,0,0,0,,0,,0,0.0,0.0,1.9134735520952114e-05,1.9255472927962238e-05,1050.6963040488426,1065.4170555542357,79731.07291731145,79765.71254698001,49.28462364897132,0.0003525653352102725,0.0003547272759507982,40.042297883161154,0.0052415090680547755,0.0069813191438532485,58.5799759223313,7.001917830518588e-06,1.1322947865695385e-05,0.08895681169338987,1.1154753814998576e-05,6.567309564902467e-09,403057.94252752664,876380.3618390762,518217.3546782486,525828.2171034454,199627.35860699392,433769.55011651595,406008.8088850398,870018.8761822282,201022.70810140876,430762.94593159016,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-1006.3804014623518,58.93316425289681,0.0,58.93316425289681,,0.0,-1,,395451.49190044904,1767544.3601983776,98862.87297511226,12764765.594752926,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.98913254203177, 58.95090154514459, 58.947067588801346, 58.94355160373905, 58.94038041120233, 58.937578269926306, 58.93516668783149, 58.93316425289681]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",6,6457572.660074871,6457621.94469852,49.28462364897132,0.0006329086091460404,0.000985473944356313,0.0003525653352102725,-0.00017736363797539903,0.00017736363797539914,0.0003547272759507982,10479.058343136487,10519.100641019648,40.042297883161154,-0.09822575113762586,-0.09298424206957108,0.0052415090680547755,1.56730566722297,1.5742869863668232,0.0069813191438532485
2,0.5,False,traj_000,0,1.2217304763960306,0.21816615649929116,0.0033877655821824004,0.02419832558701713,0.09679330234806852,1745.3292519943293,5693.72366753344,0.306535644142073,1,50,17,0.029120886193496946,0.0,0,0,"POD0_RPOS,POD1_RPOS,POD2_RPOS,POD3_RPOS",1935.86604696137,-3.865352482534945e-14,-4.445160296229901e-14,0.0,6457597.326737778,0.0008091961184477632,4.9548973844747217e-20,10499.079517407908,-0.09560499539578576,1.5707963267948966,79497.32673777826,1.9968607352372367e-05,1100.5764908268195,199.61267667021946,1.1441895730959522,24851.234193996537,6050.735282016549,6050.700560039548,-20.498433525324504,9.558623891013209,2344069.5859773997,2344069.5859773997,0.36751847509092045,0.8012687891659112,0.7695275376289854,-0.7695275376289854,-0.7695275376289854,1683603.3373415773,1630994.1834343127,1683603.3373415773,-1630994.1834343127,1,0,,,,0,1,0.5,none,,0,0,0,,0,,0,0.0033877655821824004,0.0033877655821824004,1.9879738308542792e-05,2.005800695387322e-05,1091.5036295067446,1109.7240605577567,79472.66007487103,79521.94469852,63.93513617943972,0.00035431737312591996,0.00035755805489304476,40.06687017038348,0.005244357588289228,0.0069813231375668305,58.60205012163067,7.008151662589359e-06,1.1323115768986274e-05,0.09828914888983808,1.1394080937778038e-05,1.5974854266731716e-08,410772.39833846746,894338.8267161031,528135.9407208866,536603.2960296619,302320.45819161076,657354.2567955417,414053.73894443817,887258.0120237961,304536.1428375183,652577.4489375392,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-1006.3804014623518,58.93316425289681,0.0,58.93316425289681,,0.0,-1,,395451.49190044904,1767544.3601983776,98862.87297511226,12764765.594752926,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.98913254203177, 58.95090154514459, 58.947067588801346, 58.94355160373905, 58.94038041120233, 58.937578269926306, 58.93516668783149, 58.93316425289681]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",6,6457314.763612049,6457378.698748228,63.93513617943972,0.0010366362890394647,0.0013909536621653847,0.00035431737312591996,-0.0001787790274465223,0.00017877902744652246,0.00035755805489304476,10478.543227971022,10518.610098141406,40.06687017038348,-0.09803218611177943,-0.0927878285234902,0.005244357588289228,1.5673056075356318,1.5742869306731986,0.0069813231375668305
3,0.75,False,traj_000,0,1.2217304763960306,0.30543261909900765,0.012576012150664485,0.054090374841567646,0.11956819701820207,2319.5655257865333,5693.72366753344,0.4073899017989022,1,50,21,0.02036949508994511,0.0,0,0,"POD0_RPOS,POD1_RPOS,POD2_RPOS,POD3_RPOS",2391.3639403640454,-4.774847184307873e-14,-5.491080365931053e-14,0.0,6457346.767731019,0.0012138022388671062,7.432396147040623e-20,10498.576713925064,-0.09541000588028702,1.570796269107843,79246.7677310193,2.076977853785667e-05,1144.6236689024577,200.10155140465938,1.1930108999661742,25845.828160945628,6292.897291360676,6292.399667930443,-79.13746674860307,9.55936569592468,2342216.7410086785,2342216.7410086785,0.3672279740061583,0.8005369876503016,0.770259339144595,-0.7702592814575414,-0.7702592814575414,1681079.4799959152,1630935.6344742663,1681079.5740797836,-1630935.5374977419,1,0,,,,0,1,0.75,none,,0,0,0,,0,,0,0.012576012150664485,0.012576012150664485,2.0650249836782363e-05,2.0890203221933386e-05,1133.6973549861073,1155.6581418088256,79214.7636120487,79278.69874822814,78.59133311919868,0.00035607105990305356,0.0003603888696556549,40.09393551907306,0.005247269866714033,0.006981332309986543,58.62478775824923,7.014747108534608e-06,1.1323259050440597e-05,0.10826139476217422,1.1649113699224375e-05,3.6689678621668545e-08,418595.47598202777,912575.4258219203,538194.1834054644,547545.2554931522,406969.3271871177,885498.1132510218,422217.62453271967,904752.0525701136,410090.5489706982,878765.4620800676,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-1006.3804014623518,58.93316425289681,0.0,58.93316425289681,,0.0,-1,,395451.49190044904,1767544.3601983776,98862.87297511226,12764765.594752926,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.98913254203177, 58.95090154514459, 58.947067588801346, 58.94355160373905, 58.94038041120233, 58.937578269926306, 58.93516668783149, 58.93316425289681]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",6,6457057.385735877,6457135.977068996,78.59133311919868,0.0014403670236463053,0.0017964380835493589,0.00035607105990305356,-0.00018019441143535576,0.00018019445822029914,0.0003603888696556549,10477.997156252466,10518.09109177154,40.09393551907306,-0.09783800350864416,-0.09259073364193013,0.005247269866714033,1.5673053802159933,1.5742867125259798,0.006981332309986543
4,1.0,True,traj_000,4,1.2217304763960306,0.39269908169872414,0.029536191525329703,0.08682928592988498,0.13095564435326934,2824.6230570182065,5693.72366753344,0.4960941594557315,1,50,23,0.02232423717550792,0.0,0,0,"POD0_RPOS,POD1_RPOS,POD2_RPOS,POD3_RPOS",2619.1128870653833,-5.2295945351943376e-14,-6.014040400781629e-14,0.0,6457096.730169323,0.001618412239400782,2.3340776072427016e-11,10498.04421151124,-0.095214367220188,1.5707960463912527,78996.73016932327,2.1599323993596147e-05,1190.2192175099353,200.58944655069513,1.243684807540325,26875.384639838725,6543.57191230856,6540.717857545857,-193.24409314187463,9.560106043132599,2340365.194256946,2340365.194256946,0.3669376764642991,0.7998039915389277,0.7709923352559689,-0.770992054852325,-0.770992054852325,1678555.5935506069,1630877.175586599,1678556.0508544436,-1630876.7049134301,1,0,,,,0,1,1.0,none,,0,0,0,,0,,0,0.029536191525329703,0.029536191525329703,2.1447005489766583e-05,2.1753000842186076e-05,1177.3164704788148,1203.2698542819376,78957.38573587686,79035.97706899606,93.2533924691379,0.0003578264923583053,0.00036321971498370204,40.12366159635167,0.005250249907770718,0.006981351604598007,58.64823739942858,7.02172982100643e-06,1.132338131218856e-05,0.11890430911866279,1.1920164226725109e-05,7.717844568867117e-08,426527.76528887835,931092.3052196326,548392.8410857008,558655.3831317794,513601.26850933733,1118271.18955593,430501.25204280706,922502.6829488723,517715.86198139994,1109391.1328172856,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-998.0550163019706,58.928760179828195,0.0,58.928760179828195,,0.0,-1,,426527.76528887835,1883380.995846263,513601.26850933733,14602154.416410593,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.992989226152346, 58.94912382822754, 58.94472350349051, 58.94068768345101, 58.93704716481517, 58.93382981596155, 58.93106036005799, 58.928760179828195]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",6,6456800.528720016,6456893.782112485,93.2533924691379,0.0018440995959688215,0.0022019260883271267,0.0003578264923583053,-0.00018160972039135684,0.0001816099945923452,0.00036321971498370204,10477.41901209221,10517.542673688562,40.12366159635167,-0.09764318840220022,-0.0923929384944295,0.005250249907770718,1.5673048266534924,1.5742861782580904,0.006981351604598007
5,1.25,False,traj_000,4,1.2217304763960306,0.4799655442984406,0.05552804006761986,0.12668535160261915,0.15942426269093668,3256.117678465347,5693.72366753344,0.5718784171125607,1,50,28,0.020015744598939622,0.0,0,0,"POD0_RPOS,POD1_RPOS,POD2_RPOS,POD3_RPOS",3188.485253818726,-6.366462912410498e-14,-7.32144048790807e-14,0.0,6456847.216415248,0.002023024952003992,1.367958036470862e-10,10497.480980197523,-0.09501806253831219,1.5707955025268303,78747.21641524788,2.2458096315261052e-05,1237.408620544137,201.07635726575577,1.2962716978688094,27940.930665991636,6803.009205632747,6792.523826002566,-377.5636702747718,9.5608449251156,2338514.9539337712,2338514.9539337712,0.3666475837528059,0.7990698010734805,0.7717265257214161,-0.7717257014533498,-0.7717257014533498,1676031.6852895601,1630818.8065132513,1676033.0295208548,-1630817.425013301,1,0,,,,0,1,1.25,none,,0,0,0,,0,,0,0.05552804006761986,0.05552804006761986,2.227075656172779e-05,2.264736243324451e-05,1222.4007287174452,1252.6109394786774,78700.52872001566,78793.7821124848,107.92150470800698,0.00035958377409786406,0.0003660505873730594,40.15622404092392,0.00525330160680533,0.006981388375557174,58.672448956821086,7.029126958234917e-06,1.13234895574295e-05,0.13024977829206597,1.220679613844419e-05,1.4708383627147158e-07,434569.8278931993,949891.5616829381,558732.6358626846,569934.9370097627,622243.7254826372,1355744.0799766644,438905.3820852279,940511.533039774,627442.2075027069,1344519.016077229,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-998.0550163019706,58.928760179828195,0.0,58.928760179828195,,0.0,-1,,426527.76528887835,1883380.995846263,513601.26850933733,14602154.416410593,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.992989226152346, 58.94912382822754, 58.94472350349051, 58.94068768345101, 58.93704716481517, 58.93382981596155, 58.93106036005799, 58.928760179828195]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",6,6456544.194896001,6456652.116400709,107.92150470800698,0.002247832745870447,0.002607416519968311,0.00035958377409786406,-0.00018302482232564204,0.00018302576504741736,0.0003660505873730594,10476.807645193447,10516.96386923437,40.15622404092392,-0.09744773463395369,-0.09219443302714836,0.00525330160680533,1.567303745499104,1.574285133874661,0.006981388375557174
6,1.5,False,traj_000,4,1.2217304763960306,0.5672320068981571,0.09205327739484688,0.170811710026003,0.17650543369353544,3586.890328233821,5693.72366753344,0.6299726747693898,1,50,31,0.018899180243081695,0.0,0,0,"POD0_RPOS,POD1_RPOS,POD2_RPOS,POD3_RPOS",3530.1086738707318,-7.048583938740194e-14,-8.105880540183936e-14,0.0,6456598.22889535,0.002427639169079059,4.703070644249977e-10,10496.88595976752,-0.09482108378239174,1.5707944398776348,78498.22889535036,2.3346967827616535e-05,1286.2383290282364,201.5622785813814,1.350833536563035,29043.515112667665,7071.464549171259,7041.524591312469,-650.032537745337,9.561582334160473,2336666.028141899,2336666.028141899,0.3663576971420798,0.798334416698102,0.7724619100967945,-0.7724600231795328,-0.7724600231795328,1673507.7627340094,1630760.5266075854,1673510.8398412175,-1630757.3688339968,1,0,,,,0,1,1.5,none,,0,0,0,,0,,0,0.09205327739484688,0.09205327739484688,2.312227042393551e-05,2.3574274499367872e-05,1268.9906467385226,1303.73433834982,78444.19489600137,78552.11640070938,122.59587268996984,0.0003613430158983439,0.0003688814860383167,40.19180675180178,0.005256428385610246,0.006981453091616796,58.69747192968009,7.036967201919011e-06,1.1323594661029128e-05,0.1423308435107602,1.2507115219670536e-05,2.5886423803139723e-07,442722.19608803815,968975.2404133867,569214.252113192,581385.144248032,732924.2745046467,1597987.890080011,447430.7483815902,958780.1751034076,739299.8945981044,1584214.059853081,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-998.0550163019706,58.928760179828195,0.0,58.928760179828195,,0.0,-1,,426527.76528887835,1883380.995846263,513601.26850933733,14602154.416410593,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.992989226152346, 58.94912382822754, 58.94472350349051, 58.94068768345101, 58.93704716481517, 58.93382981596155, 58.93106036005799, 58.928760179828195]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",6,6456288.386630731,6456410.982503421,122.59587268996984,0.0026515651683243426,0.0030129081842226865,0.0003613430158983439,-0.00018443950645376223,0.00018444197958455446,0.0003688814860383167,10476.161870075694,10516.353676827495,40.19180675180178,-0.09725165349462679,-0.09199522510901655,0.005256428385610246,1.5673018833166499,1.5742833364082667,0.006981453091616796
7,1.75,False,traj_000,4,1.2217304763960306,0.6544984694978736,0.13975244741960818,0.22205522303380362,0.20497405203120245,3816.3146967202015,5693.72366753344,0.6702669324262193,1,50,36,0.0033513346621310966,0.0,0,0,"POD0_RPOS,POD1_RPOS,POD2_RPOS,POD3_RPOS",4099.481040624075,-8.185452315956354e-14,-9.413280627310381e-14,0.0,6456349.770077612,0.002832253641950949,1.233783347422495e-09,10496.25805913606,-0.09462344058727243,1.570792610297434,78249.77007761225,2.4266830898780905e-05,1336.7557702039799,202.0472054472448,1.4074338820662986,30184.208896337983,7349.198687804032,7277.547749637641,-1023.7285306977727,9.562318262428967,2334818.424805592,2334818.424805592,0.3660680178745382,0.797597839094095,0.7731984877008016,-0.7731947712033391,-0.7731947712033391,1670983.8336493962,1630702.3347300487,1670989.894138945,-1630696.1245116093,1,0,,,,0,1,1.75,none,,0,0,0,,0,,0,0.13975244741960818,0.13975244741960818,2.400233074283942e-05,2.4534747861936305e-05,1317.1275098118053,1356.6942067539774,78188.3866307307,78310.98250342067,137.2767106704414,0.0003631043361160646,0.00037171241416361384,40.230602183806695,0.005259632646828216,0.006981559383972602,58.723351919270044,7.045280870882553e-06,1.132371250118855e-05,0.1551817280199721,1.2817044871924355e-05,4.251694230658614e-07,450985.37216747255,988345.3337981082,579838.3356438932,593007.2002788648,845670.6175465148,1845074.2235295381,456078.05714426585,977310.1224519982,853319.4088841709,1828541.5904660805,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-998.0550163019706,58.928760179828195,0.0,58.928760179828195,,0.0,-1,,426527.76528887835,1883380.995846263,513601.26850933733,14602154.416410593,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.992989226152346, 58.94912382822754, 58.94472350349051, 58.94068768345101, 58.93704716481517, 58.93382981596155, 58.93106036005799, 58.928760179828195]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",6,6456033.106281234,6456170.382991904,137.2767106704414,0.0030552955112810466,0.003418399847397111,0.0003631043361160646,-0.0001858534633336363,0.0001858589508299775,0.00037171241416361384,10475.480465310606,10515.711067494412,40.230602183806695,-0.09705498433096942,-0.0917953516841412,0.005259632646828216,1.5672989482176987,1.5742805076016713,0.006981559383972602
8,2.0,True,traj_000,8,1.2217304763960306,0.7417649320975901,0.19950096015578694,0.27045187420783756,0.19358660469613576,3927.8789852886416,5693.72366753344,0.689861190083049,1,50,34,0.004249091570347038,0.0,1,0,"POD0_RPOS,POD1_RPOS,POD2_RPOS,POD3_RPOS",3871.7320939227375,-7.73070496506989e-14,-8.890320592459803e-14,0.0,6456101.842425721,0.003236867078982725,2.737534190740258e-09,10495.59615574294,-0.09442517115140127,1.5707897287936845,78001.84242572077,2.5218598356598527e-05,1389.009361765068,202.5311328203692,1.466137921396736,31364.105298074202,7636.477811705025,7485.012853987716,-1513.39880543822,9.56305270209315,2332972.1515860027,2332972.1515860027,0.36577854715134644,0.7968600692220805,0.773936257572816,-0.773929659571604,-0.773929659571604,1668459.9060538996,1630644.2291212496,1668470.6650101827,-1630633.2205852736,1,0,,,,0,1,2.0,none,,0,0,0,,0,,0,0.19950096015578694,0.19950096015578694,2.491173779922635e-05,2.5529818194776903e-05,1366.8533804441847,1411.5459361633077,77933.10628123395,78070.3829919044,151.96424200106412,0.00036486786109021785,0.00037454338016980175,40.2728116495382,0.005262914935456803,0.006981724583987825,58.750125324956684,7.054099896612728e-06,1.1323864024751577e-05,0.1688378629286893,1.312915451434941e-05,6.608000606581729e-07,459359.8286494445,1008003.782036712,590605.4939778572,604802.2692220272,960510.574708876,2097075.1690387162,464847.9873325737,996102.8299983721,969531.4057173143,2077567.2979656735,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-989.5764030755528,58.923857198519286,0.0,58.923857198519286,,0.0,-1,,459359.8286494445,2003061.7950599373,960510.574708876,16557315.326414114,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.99732989185019, 58.947162234512156, 58.94212800584633, 58.93751023127453, 58.9333441609711, 58.929661711200005, 58.92649121522399, 58.923857198519286]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",6,6455778.356121711,6455930.3203637125,151.96424200106412,0.003459022373117746,0.0038238902342079637,0.00036486786109021785,-0.00018726627055288235,0.00018727710961691937,0.00037454338016980175,10474.762172770597,10515.034984420136,40.2728116495382,-0.09685780929624391,-0.0915948943607871,0.005262914935456803,1.567294604875523,1.5742763294595108,0.006981724583987825
9,2.25,False,traj_000,8,1.2217304763960306,0.8290313946973066,0.2714696273134092,0.3174250944649881,0.18789288102860224,3954.435979500806,5693.72366753344,0.6945254477398786,1,50,33,0.012910303471177581,0.0,1,0,"POD0_RPOS,POD1_RPOS,POD2_RPOS,POD3_RPOS",3757.8576205720688,-7.503331289626658e-14,-8.628840575034514e-14,0.0,6455854.448324952,0.003641478143259811,5.407172468614445e-09,10494.899094963148,-0.09422635740115991,1.570785468816901,77754.44832495227,2.6203204053184082e-05,1443.048533742264,203.01405580982333,1.5270125153168423,32584.320457718448,7933.573676661885,7643.029230173097,-2127.3682026724964,9.563785645555052,2331127.215822801,2331127.215822801,0.3654892861232657,0.796121108354647,0.7746752184402496,-0.774664360462254,-0.774664360462254,1665935.9882304706,1630586.2073096072,1665953.6930014256,-1630568.1185171858,1,0,,,,0,1,2.25,none,,0,0,0,,0,,0,0.2714696273134092,0.2714696273134092,2.5851308954549685e-05,2.6560546709278383e-05,1418.2111149633147,1468.3461821274343,77678.35612171143,77830.3203637125,166.6586947850883,0.00036663372556450637,0.00037737439919540295,40.31864562721967,0.005266272918597187,0.006981969428376811,58.777811135891056,7.063457897152998e-06,1.1324076102405116e-05,0.183335910723875,1.3431932561526645e-05,9.793775556946232e-07,467846.0096775709,1027952.4762562141,601516.2981568769,616771.4857537284,1077472.0771282688,2354063.2881027698,473741.19207913906,1015159.6973124408,1087966.7037370992,2331357.222293784,0,,7,1,1,1,none,70.0,70.0,12.000000000000002,-989.5764030755528,58.923857198519286,0.0,58.923857198519286,,0.0,-1,,459359.8286494445,2003061.7950599373,960510.574708876,16557315.326414114,8,"[0.0, 40.0, 45.0, 50.0, 55.0, 59.99999999999999, 65.0, 70.0]","[58.99732989185019, 58.947162234512156, 58.94212800584633, 58.93751023127453, 58.9333441609711, 58.929661711200005, 58.92649121522399, 58.923857198519286]","[1, 1, 1, 1, 1, 1, 1, 1]","["""", """", """", """", """", """", """", """"]",inside,"{'min_altitude_m': 'inside', 'max_altitude_m': 'inside', 'max_speed_mps': 'inside', 'max_dynamic_pressure_pa': 'inside'}",6,6455524.138231988,6455690.796926773,166.6586947850883,0.0038627442994874288,0.004229378025051935,0.00036663372556450637,-0.000188677376614004,0.00018869702258139898,0.00037737439919540295,10474.00569689572,10514.32434252294,40.31864562721967,-0.09666026774423897,-0.09139399482564178,0.005266272918597187,1.5672884927338988,1.5742704621622756,0.006981969428376811
