# heldout_testset {"config": "configs/default.json", "seed": 20260604, "n": 1000, "columns": ["altitude_m", "velocity_mps", "gamma_deg", "chi_deg", "phi_deg", "lambda_deg"]}
idx,altitude_m,velocity_mps,gamma_deg,chi_deg,phi_deg,lambda_deg
0,119287.795159,7708.711448,-2.406983,47.044106,-0.001635,-0.270664
1,119597.902255,7866.449142,-2.512042,47.302411,-0.218662,-0.203531
2,120987.235186,7848.970393,-2.558449,46.211666,-0.156574,-0.119652
3,119890.711526,7727.091590,-2.647116,47.512663,-0.264679,0.168291
4,119540.044973,7782.551798,-2.706535,43.659987,-0.108192,-0.113702
5,120254.365737,7702.348841,-2.744115,43.595631,-0.199395,0.288385
6,119371.351529,7820.128939,-2.549459,43.775410,-0.126520,0.047810
7,120352.981463,7792.542486,-2.314677,47.424800,0.244864,0.140686
8,119894.940051,7785.744318,-2.585942,47.724731,-0.180056,-0.062304
9,119012.356587,7893.984069,-2.875783,46.493349,-0.134756,0.266500
10,120542.943538,7756.557027,-2.163999,47.426849,0.231860,0.165279
11,119367.330416,7707.734977,-2.196270,46.031131,0.074834,0.028160
12,119890.554147,7814.376370,-2.748616,45.510476,0.059273,0.072333
13,119561.883469,7864.709197,-2.871440,43.706161,-0.039958,-0.252082
14,119352.156891,7737.124015,-2.790276,45.215137,-0.000723,-0.071478
15,119754.854102,7746.339074,-2.296326,44.764626,-0.139701,0.276398
16,119052.964791,7819.324678,-2.801079,48.554974,0.154586,-0.002488
17,120743.769888,7887.071939,-2.687020,44.796479,0.234340,-0.149293
18,119080.504086,7897.422991,-2.550493,48.394772,-0.026495,0.165479
19,120455.352241,7821.149378,-2.554953,48.694491,0.201673,-0.150756
20,119530.349698,7884.442197,-2.440626,46.702395,0.049455,-0.130925
21,120176.673453,7789.839850,-2.849573,46.231563,0.232338,-0.187534
22,120211.788652,7729.085143,-2.192006,45.170977,0.047285,0.175783
23,119299.873994,7711.295496,-2.177557,45.679721,-0.199817,-0.165419
24,119867.783136,7884.480123,-2.873553,43.882729,0.180317,-0.207140
25,120473.819527,7700.122047,-2.276135,45.685806,0.183352,0.039811
26,119815.353644,7765.929275,-2.836715,44.872741,0.241831,0.261243
27,120651.913307,7884.345345,-2.263149,43.391108,0.167027,-0.194099
28,119559.478177,7892.476400,-2.759414,46.239722,-0.281134,0.129980
29,120984.587233,7783.149464,-2.586817,43.276409,-0.170739,-0.056586
30,120453.285426,7861.779173,-2.425699,46.374413,-0.012437,0.223584
31,119182.052941,7803.386240,-2.606604,48.723514,0.274814,0.282106
32,119844.940204,7805.601054,-2.669397,43.409933,0.103453,0.069207
33,119333.959129,7814.960388,-2.762677,45.743675,-0.191850,0.211385
34,119158.437292,7722.347265,-2.203822,46.636979,-0.130593,0.104042
35,119053.514757,7856.037905,-2.140076,44.186428,0.151815,-0.221668
36,120849.246589,7880.898759,-2.520646,46.978938,-0.124315,-0.206819
37,119795.167693,7898.517323,-2.109307,47.971822,-0.120756,-0.298228
38,120894.666844,7789.142695,-2.800489,44.051957,0.200643,-0.227692
39,120369.227718,7898.189256,-2.359983,47.450450,-0.202962,0.121360
40,120693.965777,7715.029691,-2.819189,44.508349,0.001946,-0.190011
41,120461.025994,7751.880617,-2.375622,43.752486,-0.090275,0.060449
42,120327.992451,7811.839439,-2.523901,44.016608,-0.270094,0.099655
43,119192.860207,7753.484099,-2.826887,48.122389,0.083653,-0.027655
44,119997.961333,7702.447789,-2.194522,45.368126,0.276442,-0.210253
45,120268.035981,7794.273345,-2.571019,45.569248,-0.123386,-0.288374
46,120499.556804,7852.434437,-2.893882,45.483228,-0.291079,0.147272
47,119720.429786,7864.161414,-2.845248,44.036602,-0.225885,-0.019811
48,119657.993731,7857.412846,-2.584265,43.774775,-0.036849,0.228161
49,119715.456831,7798.023363,-2.732334,46.521783,0.282492,-0.082908
50,120617.364753,7768.853444,-2.252074,43.095538,0.201214,-0.093165
51,119433.339934,7794.254685,-2.645154,45.706492,-0.157813,-0.011386
52,119623.916916,7774.747282,-2.600812,43.582926,0.180690,-0.136594
53,120560.638092,7862.715388,-2.811693,43.552687,-0.150652,0.238038
54,120186.965049,7841.433509,-2.767524,44.585597,-0.099133,-0.285365
55,119785.994206,7836.355872,-2.234829,44.313688,-0.155841,0.018951
56,120323.611901,7804.068526,-2.202279,46.863202,0.291887,-0.056964
57,120800.157799,7739.679042,-2.622865,43.043410,-0.136609,0.111438
58,120462.501405,7838.325343,-2.712797,47.566558,-0.010168,-0.101659
59,120002.860740,7797.600577,-2.854060,47.277417,-0.197106,-0.238155
60,119501.940607,7770.841024,-2.317863,43.744415,-0.241390,0.090412
61,119486.805227,7739.367195,-2.464697,47.497388,-0.186782,0.046237
62,120982.180579,7849.424822,-2.432459,48.846490,0.247505,0.288659
63,120691.483580,7810.434257,-2.682272,47.795189,0.108138,-0.224329
64,119959.688373,7881.597425,-2.547821,45.128620,0.247629,-0.262159
65,120390.907696,7728.795294,-2.563796,44.747306,0.266902,-0.294087
66,119062.761903,7758.671099,-2.226123,46.732852,-0.023623,0.189466
67,120407.414562,7897.239995,-2.198246,43.490285,0.299506,0.242849
68,119345.049746,7793.525753,-2.117656,45.716728,-0.226385,0.104027
69,119277.601839,7766.272325,-2.647900,43.608801,-0.134306,0.017640
70,119032.216144,7858.090688,-2.174863,46.076536,0.190641,-0.190411
71,120223.888161,7852.932604,-2.668651,42.995278,-0.234587,0.097010
