run_id,case_name,t0_s,dt_s,t_final_s,init_altitude_m,init_speed_mps,init_fpa_deg,sigma_const_deg,mass_kg,ref_area_m2,CL_const,CD_const
1,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
2,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
3,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
4,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
5,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
6,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
7,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
8,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
9,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
10,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
11,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
12,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
13,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
14,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
15,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
16,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
17,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
18,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
19,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
20,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
21,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
22,LEO_entry_test_01,0.0,0.25,2000.0,71230.09843810128,7351.459829911264,-7.25946028517222,69.39194543256016,5000.0,10.0,0.3,1.0
23,LEO_entry_test_01,0.0,0.25,2000.0,60414.96225563448,7280.657102540194,-1.408577609851699,18.532229737033994,5000.0,10.0,0.3,1.0
24,LEO_entry_test_01,0.0,0.25,2000.0,62415.67626575634,7587.179368621026,-2.380258251573368,47.996196541322874,5000.0,10.0,0.3,1.0
25,LEO_entry_test_01,0.0,0.25,2000.0,83099.03585361938,7352.480854563576,-1.2765798157545216,49.98113653437529,5000.0,10.0,0.3,1.0
26,LEO_entry_test_01,0.0,0.25,2000.0,71881.627570367,7210.006391776101,-5.01048135960674,14.06967392535835,5000.0,10.0,0.3,1.0
27,LEO_entry_test_01,0.0,0.25,2000.0,63249.47634606385,7225.732318909686,-3.7220142604894892,33.23506147786444,5000.0,10.0,0.3,1.0
28,LEO_entry_test_01,0.0,0.25,2000.0,60717.883912355916,7413.11967743812,-4.543636189108941,23.360819797255036,5000.0,10.0,0.3,1.0
29,LEO_entry_test_01,0.0,0.25,2000.0,66338.5902271336,7443.135865525848,-4.1702165595719265,25.079750068643847,5000.0,10.0,0.3,1.0
30,LEO_entry_test_01,0.0,0.25,2000.0,83120.76404606184,7715.722225928319,-6.847342194299536,1.8807161017664642,5000.0,10.0,0.3,1.0
31,LEO_entry_test_01,0.0,0.25,2000.0,52291.23688761573,7722.356631608431,-2.306582332277073,25.052894990324198,5000.0,10.0,0.3,1.0
32,LEO_entry_test_01,0.0,0.25,2000.0,85000.0,7700.0,-5.0,0.0,5000.0,10.0,0.3,1.0
33,LEO_entry_test_01,0.0,0.25,2000.0,50442.49392325083,7650.228501802198,-2.8488371908875703,41.0239322557415,5000.0,10.0,0.3,1.0
34,LEO_entry_test_01,0.0,0.25,2000.0,82446.65303710419,7601.873162713786,-7.091692962686251,20.4428300962667,5000.0,10.0,0.3,1.0
35,LEO_entry_test_01,0.0,0.25,2000.0,75269.15175752902,7615.854072084274,-2.1441355618025533,14.564114392542372,5000.0,10.0,0.3,1.0
36,LEO_entry_test_01,0.0,0.25,2000.0,75897.81407707896,7457.820588323231,-2.243134363523329,19.324606045127688,5000.0,10.0,0.3,1.0
37,LEO_entry_test_01,0.0,0.25,2000.0,79393.73886721091,7486.0414797294825,-7.546047433965201,14.654199625567346,5000.0,10.0,0.3,1.0
38,LEO_entry_test_01,0.0,0.25,2000.0,63069.8483072936,7368.597073692226,-6.150520244648682,45.3960170764119,5000.0,10.0,0.3,1.0
39,LEO_entry_test_01,0.0,0.25,2000.0,73464.50306722595,7350.308631386106,-5.824584116424898,19.952749855228056,5000.0,10.0,0.3,1.0
40,LEO_entry_test_01,0.0,0.25,2000.0,53581.49738190202,7269.455499068873,-5.787221076986031,49.7638301677577,5000.0,10.0,0.3,1.0
41,LEO_entry_test_01,0.0,0.25,2000.0,53162.43591646115,7202.330544738439,-9.669135486690791,42.415842689394744,5000.0,10.0,0.3,1.0
42,LEO_entry_test_01,0.0,0.25,2000.0,57883.195680282966,7567.846491297949,-3.8908223376005884,56.36400784337638,5000.0,10.0,0.3,1.0
