run_id,step,t,qdot_lo,qdot_hi,Q_lo,Q_hi
668abc4e-780d-47a7-ae1a-1384dd9d08d0,0,0.0,233386.80253485212,1775657.7707529902,58346.70063371303,443914.44268824754
668abc4e-780d-47a7-ae1a-1384dd9d08d0,1,0.25,235904.3177049734,1797217.6049823514,117322.78005995638,893218.8439338354
668abc4e-780d-47a7-ae1a-1384dd9d08d0,2,0.5,238447.3972974524,1819070.9273709892,176934.62938431947,1347986.5757765826
668abc4e-780d-47a7-ae1a-1384dd9d08d0,3,0.75,241016.3338365349,1841223.5017122307,237188.7128434532,1808292.4512046403
668abc4e-780d-47a7-ae1a-1384dd9d08d0,4,1.0,243611.4245606636,1863681.2603652158,298091.5689836191,2274212.7662959443
668abc4e-780d-47a7-ae1a-1384dd9d08d0,5,1.25,246232.97151818764,1886450.3104746533,359649.811863166,2745825.3439146075
668abc4e-780d-47a7-ae1a-1384dd9d08d0,6,1.5,248881.28166467467,1909536.9404584689,421870.13227933465,3223209.579029225
668abc4e-780d-47a7-ae1a-1384dd9d08d0,7,1.75,251556.66696202004,1932947.626776788,484759.2990198397,3706446.485723422
668abc4e-780d-47a7-ae1a-1384dd9d08d0,8,2.0,254259.4444790808,1956689.0409964025,548324.1601396098,4195618.745972523
668abc4e-780d-47a7-ae1a-1384dd9d08d0,9,2.25,256989.93649405174,1980768.0571658076,612571.6442631228,4690810.760263975
668abc4e-780d-47a7-ae1a-1384dd9d08d0,10,2.5,259748.4705984837,2005191.7595155113,677508.7619127438,5192108.700142853
668abc4e-780d-47a7-ae1a-1384dd9d08d0,11,2.75,262535.3798029162,2029967.4505025498,743142.6068634728,5699600.56276849
668abc4e-780d-47a7-ae1a-1384dd9d08d0,12,3.0,265351.00264412735,2055102.659214299,809480.3575245047,6213376.227572065
668abc4e-780d-47a7-ae1a-1384dd9d08d0,13,3.25,268195.68329393567,2080605.1501523547,876529.2783479886,6733527.515110154
668abc4e-780d-47a7-ae1a-1384dd9d08d0,14,3.5,271069.77166967595,2106482.9324148386,944296.7212654076,7260148.248213863
668abc4e-780d-47a7-ae1a-1384dd9d08d0,15,3.75,273973.62354602,2132744.269299796,1012790.1271519127,7793334.315538812
668abc4e-780d-47a7-ae1a-1384dd9d08d0,16,4.0,276907.6006684894,2159397.688350222,1082017.027319035,8333183.737626368
668abc4e-780d-47a7-ae1a-1384dd9d08d0,17,4.25,279872.07086826966,2186451.9918654384,1151985.0450361024,8879796.735592728
668abc4e-780d-47a7-ae1a-1384dd9d08d0,18,4.5,282867.4081784588,2213916.26790387,1222701.8970807171,9433275.802568696
668abc4e-780d-47a7-ae1a-1384dd9d08d0,19,4.75,285893.99294534215,2241799.9018082167,1294175.3953170527,9993725.77802075
668abc4e-780d-47a7-ae1a-1384dd9d08d0,20,5.0,288952.2119493187,2270112.5882707587,1366413.4483043824,10561253.925088441
668abc4e-780d-47a7-ae1a-1384dd9d08d0,21,5.25,292042.45852830645,2298864.343974188,1439424.062936459,11135970.011081988
668abc4e-780d-47a7-ae1a-1384dd9d08d0,22,5.5,295165.13269885856,2328065.5208432944,1513215.3461111735,11717986.391292812
668abc4e-780d-47a7-ae1a-1384dd9d08d0,23,5.75,298320.6412782988,2357726.8199388403,1587795.5064307482,12307418.096277522
668abc4e-780d-47a7-ae1a-1384dd9d08d0,24,6.0,301509.39800777094,2387859.3060301323,1663172.855932691,12904382.922785055
668abc4e-780d-47a7-ae1a-1384dd9d08d0,25,6.25,304731.82367611147,2418474.42288474,1739355.8118517187,13509001.52850624
668abc4e-780d-47a7-ae1a-1384dd9d08d0,26,6.5,307988.34624432074,2449584.0093163783,1816352.898412799,14121397.530835334
668abc4e-780d-47a7-ae1a-1384dd9d08d0,27,6.75,311279.40097074554,2481200.316034468,1894172.7486554855,14741697.60984395
668abc4e-780d-47a7-ae1a-1384dd9d08d0,28,7.0,314605.4305364852,2513336.023343042,1972824.1062896068,15370031.615679711
668abc4e-780d-47a7-ae1a-1384dd9d08d0,29,7.25,317966.88517111115,2546004.259737451,2052315.8275823845,16006532.680614075
668abc4e-780d-47a7-ae1a-1384dd9d08d0,30,7.5,321364.22277841426,2579218.6214521867,2132656.883276988,16651337.335977122
668abc4e-780d-47a7-ae1a-1384dd9d08d0,31,7.75,324797.90906203,2612993.1930177365,2213856.3605424953,17304585.634231556
668abc4e-780d-47a7-ae1a-1384dd9d08d0,32,8.0,328268.4176506405,2647342.568885773,2295923.4649551553,17966421.276453
668abc4e-780d-47a7-ae1a-1384dd9d08d0,33,8.25,331776.2302226179,2682281.876187531,2378867.52251081,18636991.745499883
668abc4e-780d-47a7-ae1a-1384dd9d08d0,34,8.5,335321.8366297669,2717826.7986947135,2462697.9816682516,19316448.44517356
668abc4e-780d-47a7-ae1a-1384dd9d08d0,35,8.75,338905.7350199572,2753993.6020578165,2547424.415423241,20004946.845688015
