t_s,sigma_actual_rad,sigma_actual_deg,nom_r_m,nom_alt_m,nom_phi_rad,nom_lam_rad,nom_V_mps,nom_gamma_rad,nom_chi_rad,nom_gamma_deg,nom_chi_deg,rho_lo,rho_hi,q_lo,q_hi,alt_lo,alt_hi,safety_status,layer_indices,r_m_lo,r_m_hi,r_m_width,phi_rad_lo,phi_rad_hi,phi_rad_width,lam_rad_lo,lam_rad_hi,lam_rad_width,V_mps_lo,V_mps_hi,V_mps_width,gamma_rad_lo,gamma_rad_hi,gamma_rad_width,chi_rad_lo,chi_rad_hi,chi_rad_width,heating_qdot_max_lo,heating_qdot_max_hi,heating_Q_max_lo,heating_Q_max_hi
0.0,0.0,0.0,6498100.0,120000.0,0.0,0.0,7500.0,-0.09599310885968812,1.5707963267948966,-5.5,90.0,0.0,0.0,0.0,0.0,119850.0,120150.0,inside,,6497764.911438991,6498075.6421613945,310.7307224031538,0.00011183708951960486,0.00046259457168068314,0.00035075748216107825,-0.00017553844800870938,0.00017553844800870943,0.0003510768960174188,7480.2200312379955,7520.232351939641,40.012320701645876,-0.0986387292310603,-0.0933994838928366,0.0052392453382237025,1.5673056177946894,1.5742870357951038,0.006981418000414408,0.0,0.0,0.0,0.0
0.25,0.0,0.0,6497920.289214024,119820.28921402432,0.00028721747463696475,1.7586998048667248e-20,7500.226192079679,-0.09601910399356488,1.5707963267948966,-5.501489411459016,90.0,0.0,0.0,0.0,0.0,119670.28921402432,119970.28921402432,inside,,6497585.1464509545,6497895.877702368,310.73125141393393,0.00039907040735020377,0.0007498279767057759,0.00035075756935557217,-0.00017553850370802767,0.00017553850370802775,0.0003510770074160554,7480.446296568917,7520.458617927495,40.01232135857754,-0.09866471558656349,-0.09342547022065942,0.005239245365904074,1.5673057007197964,1.5742871189011651,0.00698141818136877,0.0,0.0,0.0,0.0
0.5,0.0,0.0,6497740.524490276,119640.52449027635,0.0005744508361085051,3.517496961084006e-20,7500.452457739297,-0.09604509033516676,1.5707964096751101,-5.502978319157789,90.00000474868644,0.0,0.0,0.0,0.0,119490.52449027635,119790.52449027635,inside,,6497405.327536984,6497716.059317416,310.73178043123335,0.0006863196180145314,0.001037077274657342,0.0003507576566428106,-0.00017553858338870463,0.0001755385356344784,0.000351077119023183,7480.672635470391,7520.68495748616,40.012322015769314,-0.09869069314681461,-0.09345144775321818,0.005239245393596437,1.5673058662680457,1.5742872849016594,0.0069814186336136785,0.0,0.0,0.0,0.0
0.75,0.0,0.0,6497560.705840597,119460.70584059693,0.0008617000905016271,-2.3807283430462624e-11,7500.678796969595,-0.09607106788151061,1.5707965754497222,-5.504466722925397,90.00001424687207,0.0,0.0,0.0,0.0,119310.70584059693,119610.70584059693,inside,,6497225.454708925,6497536.187018382,310.73230945691466,0.0009735847275998476,0.0013243424716226722,0.0003507577440228246,-0.0001755387108661214,0.00017553851997273751,0.0003510772308388589,7480.899047933152,7520.911370606372,40.01232267321939,-0.09871666190883072,-0.09347741648752994,0.0052392454213007755,1.5673061147248655,1.574287533810793,0.0069814190859274206,0.0,0.0,0.0,0.0
1.0,0.0,0.0,6497380.833276834,119280.83327683434,0.001148965243903617,-9.523717655767105e-11,7500.90520976131,-0.09609703662961348,1.5707968241329393,-5.50595462259093,90.00002849537084,0.0,0.0,0.0,0.0,119130.83327683434,119430.83327683434,inside,,6497045.527978633,6497356.260817124,310.7328384909779,0.0012608657421936866,0.0016116235736893364,0.00035075783149564983,-0.00017553890996372396,0.0001755384328994163,0.00035107734286314026,7481.125533947932,7521.13785727886,40.01232333092776,-0.09874262186962902,-0.0935033764206119,0.005239245449017119,1.5673064461044837,1.5742878656427939,0.0069814195383102184,0.0,0.0,0.0,0.0
1.25,0.0,0.0,6497200.906810841,119100.90681084059,0.0014362463024020352,-2.3811307019918896e-10,7501.131696105173,-0.0961229965764926,1.5707971557389895,-5.507442017983487,90.00004749499797,0.0,0.0,0.0,0.0,118950.90681084059,119250.90681084059,inside,,6496865.547357963,6497176.280725496,310.7333675324917,0.0015481626678838503,0.00189892058694518,0.0003507579190613298,-0.00017553920451304485,0.0001755382505830396,0.00035107745509608445,7481.352093505454,7521.364417494351,40.01232398889715,-0.09876857302622695,-0.0935293275494815,0.005239245476745452,1.5673068604211495,1.5742882804119123,0.006981419990762738,0.0,0.0,0.0,0.0
1.5,0.0,0.0,6497020.926454475,118920.92645447515,0.00172354327208471,-4.762664417466021e-10,7501.358255991909,-0.0961489477191654,1.5707975702821222,-5.50892890893218,90.0000712465699,0.0,0.0,0.0,0.0,118770.92645447515,119070.92645447515,inside,,6496685.512858784,6496996.246755365,310.73389658145607,0.0018354755107584026,0.0021862335174783146,0.000350758006719912,-0.00017553961835372527,0.00017553794918402364,0.0003510775675377489,7481.578726596436,7521.591051243561,40.01232464712484,-0.09879451537564214,-0.09355526987115635,0.00523924550448579,1.5673073576891343,1.5742887781324186,0.006981420443284314,0.0,0.0,0.0,0.0
1.75,0.0,0.0,6496840.892219602,118740.89221960213,0.0020108561590397316,-8.335368770713516e-10,7501.584889412234,-0.09617489005464948,1.5707980677766087,-5.510415295266131,90.00009975090431,0.0,0.0,0.0,0.0,118590.89221960213,118890.89221960213,inside,,6496505.424492963,6496816.158918601,310.73442563880235,0.002122804276905663,0.002473562371377115,0.000350758094471452,-0.0001755401753335369,0.00017553750485465415,0.000351077680188191,7481.80543321159,7521.817758517202,40.01232530561174,-0.09882044891489235,-0.09358120338265422,0.005239245532238132,1.5673079379227306,1.5742893588186062,0.006981420895875612,0.0,0.0,0.0,0.0
2.0,0.0,0.0,6496660.804118093,118560.8041180931,0.0022981849693554466,-1.3337720925423469e-09,7501.811596356861,-0.09620082357996262,1.5707986482367415,-5.51190117681447,90.0001330088201,0.0,0.0,0.0,0.0,118410.8041180931,118710.8041180931,inside,,6496325.282272377,6496636.017227082,310.73495470453054,0.0024101489724142012,0.0027609071547302104,0.00035075818231600914,-0.00017554089930840402,0.00017553689373906443,0.00035107779304746845,7482.032213341622,7522.04453930598,40.01232596435784,-0.09884637364099559,-0.09360712808099309,0.005239245560002506,1.5673086011362525,1.5742900224847889,0.00698142134853641,0.0,0.0,0.0,0.0
2.25,0.0,0.0,6496480.662161823,118380.66216182336,0.00258552970912045,-2.0008279569288236e-09,7502.038376816495,-0.09622674829212281,1.570799311676835,-5.51338655340634,90.00017102113742,0.0,0.0,0.0,0.0,118230.66216182336,118530.66216182336,inside,,6496145.08620891,6496455.8216926865,310.735483776778,0.002697509603372829,0.0030482678736264792,0.00035075827025365025,-0.00017554181414242533,0.00017553609197321334,0.00035107790611563867,7482.259066977231,7522.271393600594,40.01232662336315,-0.09887228955097001,-0.09363304396319112,0.005239245587778885,1.5673093473440356,1.574290769145303,0.0069814218012673734,0.0,0.0,0.0,0.0
2.5,0.0,0.0,6496300.466362675,118200.46636267472,0.00287289038442358,-2.858568513443662e-09,7502.265230781834,-0.09625266418814823,1.5708000581112251,-5.514871424870896,90.00021378867766,0.0,0.0,0.0,0.0,118050.46636267472,118350.46636267472,inside,,6495964.836314447,6496275.572327305,310.73601285740733,0.002984886175870596,0.003335644534155043,0.0003507583582844473,-0.00017554294370789622,0.00017553507568486324,0.00035107801939275943,7482.485994109108,7522.498321391737,40.012327282628576,-0.098898196641834,-0.0936589510262667,0.005239245615567295,1.5673101765604371,1.5742915988145059,0.006981422254068725,0.0,0.0,0.0,0.0
