t_s,step,alt_m,V_mps,mach,phase,event
285.0,1140,8489.16131188441,124.22297932899605,,stowed,fbc_jettison
292.75,1171,7582.933670789935,118.6320929844458,,drogue,drogue_deploy
301.5,1206,6730.676150740124,87.27160614923609,,drogue,drogue_disreef
362.0,1448,2894.157409171574,56.687149695603836,,pilot,pilot_deploy
362.0,1448,2894.157409171574,56.687149695603836,,pilot,drogue_cut
369.75,1479,2386.412333069369,68.68305947702666,,main,main_deploy
378.5,1514,2151.191155804321,22.456761131998995,,main,main_disreef_1
379.75,1519,2129.126043861732,14.597874512100441,,main,main1_squid_start
381.25,1525,2106.036135006696,15.98745545438261,,main,main1_squid_end
386.5,1546,2031.701676336117,13.86470713307052,,main,main_disreef_2
402.75,1611,1896.021935859695,8.207161404741242,,main,main1_squid_start
404.25,1617,1882.3591759661213,9.542351626244965,,main,main1_squid_end
582.25,2329,471.2862210329622,7.664007453407011,,main,main2_squid_start
583.75,2335,458.4885487491265,8.918729459906224,,main,main2_squid_end
584.5,2338,452.29948682617396,7.704542494203293,,main,main1_squid_start
586.0,2344,439.48911965545267,8.911477174218025,,main,main1_squid_end
615.0,2460,218.22512961924076,7.57489026904088,,main,main2_squid_start
616.5,2466,205.56980171333998,8.816151773388082,,main,main2_squid_end
643.75,2575,-0.21774793602526188,7.499806001161435,,landed,landed
