step,t_s,thruster
2,0.5,POD0_RPOS
2,0.5,POD1_RPOS
2,0.5,POD2_RPOS
2,0.5,POD3_RPOS
3,0.75,POD0_RPOS
3,0.75,POD1_RPOS
3,0.75,POD2_RPOS
3,0.75,POD3_RPOS
4,1.0,POD0_RPOS
4,1.0,POD1_RPOS
4,1.0,POD2_RPOS
4,1.0,POD3_RPOS
5,1.25,POD0_RPOS
5,1.25,POD1_RPOS
5,1.25,POD2_RPOS
5,1.25,POD3_RPOS
6,1.5,POD0_RPOS
6,1.5,POD1_RPOS
6,1.5,POD2_RPOS
6,1.5,POD3_RPOS
7,1.75,POD0_RPOS
7,1.75,POD1_RPOS
7,1.75,POD2_RPOS
7,1.75,POD3_RPOS
8,2.0,POD0_RPOS
8,2.0,POD1_RPOS
8,2.0,POD2_RPOS
8,2.0,POD3_RPOS
9,2.25,POD0_RPOS
9,2.25,POD1_RPOS
9,2.25,POD2_RPOS
9,2.25,POD3_RPOS
10,2.5,POD0_RPOS
10,2.5,POD1_RPOS
10,2.5,POD2_RPOS
10,2.5,POD3_RPOS
11,2.75,POD0_RPOS
11,2.75,POD1_RPOS
11,2.75,POD2_RPOS
11,2.75,POD3_RPOS
12,3.0,POD0_RPOS
12,3.0,POD1_RPOS
12,3.0,POD2_RPOS
12,3.0,POD3_RPOS
13,3.25,POD0_RPOS
13,3.25,POD1_RPOS
13,3.25,POD2_RPOS
13,3.25,POD3_RPOS
14,3.5,POD0_RPOS
14,3.5,POD1_RPOS
14,3.5,POD2_RPOS
14,3.5,POD3_RPOS
15,3.75,POD0_RPOS
15,3.75,POD1_RPOS
15,3.75,POD2_RPOS
15,3.75,POD3_RPOS
16,4.0,POD0_RPOS
16,4.0,POD1_RPOS
16,4.0,POD2_RPOS
16,4.0,POD3_RPOS
18,4.5,POD0_RNEG
18,4.5,POD1_RNEG
18,4.5,POD2_RNEG
18,4.5,POD3_RNEG
19,4.75,POD0_RNEG
19,4.75,POD1_RNEG
19,4.75,POD2_RNEG
19,4.75,POD3_RNEG
20,5.0,POD0_RNEG
20,5.0,POD1_RNEG
20,5.0,POD2_RNEG
20,5.0,POD3_RNEG
21,5.25,POD0_RNEG
21,5.25,POD1_RNEG
21,5.25,POD2_RNEG
21,5.25,POD3_RNEG
22,5.5,POD0_RNEG
22,5.5,POD1_RNEG
22,5.5,POD2_RNEG
22,5.5,POD3_RNEG
23,5.75,POD0_RNEG
23,5.75,POD1_RNEG
23,5.75,POD2_RNEG
23,5.75,POD3_RNEG
24,6.0,POD0_RNEG
24,6.0,POD1_RNEG
24,6.0,POD2_RNEG
24,6.0,POD3_RNEG
25,6.25,POD0_RNEG
25,6.25,POD1_RNEG
25,6.25,POD2_RNEG
25,6.25,POD3_RNEG
26,6.5,POD0_RNEG
26,6.5,POD1_RNEG
26,6.5,POD2_RNEG
26,6.5,POD3_RNEG
27,6.75,POD0_RNEG
27,6.75,POD1_RNEG
27,6.75,POD2_RNEG
27,6.75,POD3_RNEG
28,7.0,POD0_RNEG
28,7.0,POD1_RNEG
28,7.0,POD2_RNEG
28,7.0,POD3_RNEG
29,7.25,POD0_RNEG
29,7.25,POD1_RNEG
29,7.25,POD2_RNEG
29,7.25,POD3_RNEG
30,7.5,POD0_RNEG
30,7.5,POD1_RNEG
30,7.5,POD2_RNEG
30,7.5,POD3_RNEG
31,7.75,POD0_RNEG
31,7.75,POD1_RNEG
31,7.75,POD2_RNEG
31,7.75,POD3_RNEG
32,8.0,POD0_RNEG
32,8.0,POD1_RNEG
32,8.0,POD2_RNEG
32,8.0,POD3_RNEG
33,8.25,POD0_RNEG
33,8.25,POD1_RNEG
33,8.25,POD2_RNEG
33,8.25,POD3_RNEG
34,8.5,POD0_RNEG
34,8.5,POD1_RNEG
34,8.5,POD2_RNEG
34,8.5,POD3_RNEG
35,8.75,POD0_RNEG
35,8.75,POD1_RNEG
35,8.75,POD2_RNEG
35,8.75,POD3_RNEG
36,9.0,POD0_RNEG
36,9.0,POD1_RNEG
36,9.0,POD2_RNEG
36,9.0,POD3_RNEG
38,9.5,POD0_RPOS
38,9.5,POD1_RPOS
38,9.5,POD2_RPOS
38,9.5,POD3_RPOS
39,9.75,POD0_RPOS
39,9.75,POD1_RPOS
39,9.75,POD2_RPOS
39,9.75,POD3_RPOS
40,10.0,POD0_RPOS
40,10.0,POD1_RPOS
40,10.0,POD2_RPOS
40,10.0,POD3_RPOS
41,10.25,POD0_RPOS
41,10.25,POD1_RPOS
41,10.25,POD2_RPOS
41,10.25,POD3_RPOS
42,10.5,POD0_RPOS
42,10.5,POD1_RPOS
42,10.5,POD2_RPOS
42,10.5,POD3_RPOS
43,10.75,POD0_RPOS
43,10.75,POD1_RPOS
43,10.75,POD2_RPOS
43,10.75,POD3_RPOS
44,11.0,POD0_RPOS
44,11.0,POD1_RPOS
44,11.0,POD2_RPOS
44,11.0,POD3_RPOS
45,11.25,POD0_RPOS
45,11.25,POD1_RPOS
45,11.25,POD2_RPOS
45,11.25,POD3_RPOS
