t_s,step,alt_m,V_mps,mach,phase,event,reefing_stage,num_mains_active
285.5,1142,8493.761021880433,124.5702989555008,0.3917573811787428,stowed,fbc_jettison,0,3
293.25,1173,7588.3672143463045,118.16600938067774,0.36675308168083665,drogue,drogue_deploy,0,3
302.0,1208,6741.419669017196,86.62060331622739,0.26601687002972035,drogue,drogue_disreef,2,3
363.25,1453,2889.7983804708347,56.209178870779006,0.16656634323948943,pilot,pilot_deploy,3,3
363.25,1453,2889.7983804708347,56.209178870779006,0.16656634323948943,pilot,drogue_cut,3,3
371.0,1484,2385.7813894134015,68.1876206974727,0.2011835869829132,main,main_deploy,0,3
379.75,1519,2153.2576155597344,22.2606913075509,0.0655425606650341,main,main_disreef_1,2,3
381.0,1524,2131.415471550077,14.452695533340979,0.04254492034958601,main,main1_squid_start,2,3
382.5,1530,2108.5339730866253,15.849965121182354,0.046648418814610605,main,main1_squid_end,2,3
387.75,1551,2034.8585379458964,13.74402716543296,0.04042317222348994,main,main_disreef_2,3,3
404.0,1616,1900.3751355735585,8.136168704728538,0.02389989847647038,main,main1_squid_start,3,3
405.5,1622,1886.8252581506968,9.460973674243732,0.027787982539731533,main,main1_squid_end,3,3
583.5,2334,487.5670822355896,7.601827929169022,0.022002678125971734,main,main2_squid_start,3,3
585.0,2340,474.8687602253631,8.847127161503877,0.025603198988568106,main,main2_squid_end,3,3
585.75,2343,468.7324918527156,7.639912395624136,0.022107954701634756,main,main1_squid_start,3,3
587.25,2349,456.0227523650974,8.839928732416695,0.02557661815970626,main,main1_squid_end,3,3
616.25,2465,236.5472934730351,7.514056717784737,0.021682220469917936,main,main2_squid_start,3,3
617.75,2471,223.98924897797406,8.746047755505042,0.025233229368922427,main,main2_squid_end,3,3
647.75,2591,-0.6010159607976675,7.433186099145765,0.021383889472599255,landed,landed,3,3
