t_s,step,alt_m,V_mps,mach,phase,event,reefing_stage,num_mains_active
0.0,0,115000.0,10500.0,,stowed,main3_failed_at_init,0,2
437.5,1750,8472.06436298322,123.57836172672195,,stowed,fbc_jettison,0,2
445.25,1781,7574.735489239916,117.14217154245655,,drogue,drogue_deploy,0,2
454.0,1816,6735.4096338441595,85.899224590462,,drogue,drogue_disreef,2,2
515.5,2062,2892.2679139720276,55.94814212547188,,pilot,pilot_deploy,3,2
515.5,2062,2892.2679139720276,55.94814212547188,,pilot,drogue_cut,3,2
523.25,2093,2390.5267308093607,67.8675766820771,,main,main_deploy,0,2
532.0,2128,2104.8978462414816,26.725109067905667,,main,main_disreef_1,2,2
538.5,2154,1989.1621232759207,16.641764399950095,,main,main2_squid_start,2,2
540.0,2160,1961.4492788147181,20.148438120711514,,main,main_disreef_2,3,2
540.0,2160,1961.4492788147181,20.148438120711514,,main,main2_squid_end,3,2
573.0,2292,1632.3528585974127,9.77957192882539,,main,main2_squid_start,3,2
574.5,2298,1615.3113424787298,12.39217041183143,,main,main2_squid_end,3,2
746.5,2986,-1.622472606599331,9.039564699196932,,landed,landed,3,2
